epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,20374.2,0.9811,1.35262,0.00755,0.84323,0.79693,0.86117,0.65041,0.9065,0.63201,0.01016,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
46,20821.7,0.97033,1.35861,0.00738,0.86932,0.77644,0.86115,0.63877,0.93438,0.64239,0.01189,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
47,21271.2,0.97607,1.35929,0.00744,0.86763,0.7893,0.85608,0.63756,0.89989,0.64918,0.00951,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
48,21719.6,0.97576,1.3499,0.0074,0.85382,0.80397,0.86853,0.64917,0.93351,0.62206,0.01114,0.0265103,0.00883675,0.0265103,0.00883675,0.0265103,0.00883675,0.0265103,0.00883675
49,22168.1,0.97983,1.33763,0.00752,0.85076,0.79227,0.86915,0.65326,0.91331,0.63415,0.0101,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
50,22617,0.96505,1.34579,0.00724,0.85753,0.7985,0.86937,0.64757,0.94326,0.61882,0.01163,0.0263617,0.00878725,0.0263617,0.00878725,0.0263617,0.00878725,0.0263617,0.00878725
51,23064.6,0.96789,1.3421,0.00732,0.8343,0.81181,0.8665,0.63894,0.96944,0.62826,0.01289,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
52,23516,0.96532,1.33546,0.00731,0.84944,0.80259,0.85826,0.64577,0.91571,0.61526,0.01013,0.0262133,0.00873775,0.0262133,0.00873775,0.0262133,0.00873775,0.0262133,0.00873775
53,23965.2,0.96251,1.32653,0.00729,0.86817,0.79115,0.86868,0.64759,0.92237,0.62037,0.01087,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
54,24418.4,0.96914,1.3228,0.00735,0.87088,0.79305,0.86849,0.65452,0.90916,0.62078,0.01001,0.0260647,0.00868825,0.0260647,0.00868825,0.0260647,0.00868825,0.0260647,0.00868825
55,24868.2,0.9649,1.33674,0.00722,0.85989,0.81116,0.86886,0.65018,0.92783,0.62791,0.01108,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
56,25319.1,0.97079,1.31603,0.00734,0.83881,0.80568,0.87253,0.65698,0.91364,0.62419,0.01078,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
57,25769,0.95848,1.30878,0.00719,0.8814,0.78253,0.87401,0.66393,0.89033,0.61536,0.00966,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
58,26218.9,0.95453,1.31753,0.00712,0.83928,0.82031,0.8708,0.65285,0.91745,0.61082,0.01082,0.0257677,0.00858925,0.0257677,0.00858925,0.0257677,0.00858925,0.0257677,0.00858925
59,26668.8,0.95705,1.32705,0.00722,0.83907,0.81271,0.87481,0.65497,0.91233,0.61196,0.01098,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
60,27117.7,0.96401,1.30824,0.00715,0.86605,0.80204,0.87224,0.663,0.88176,0.60973,0.00931,0.0256192,0.00853975,0.0256192,0.00853975,0.0256192,0.00853975,0.0256192,0.00853975
61,27566.3,0.95661,1.31091,0.00723,0.88593,0.79125,0.88057,0.66217,0.90589,0.62372,0.01081,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
62,28016,0.94946,1.3282,0.00722,0.86642,0.802,0.87443,0.65993,0.90682,0.60921,0.01075,0.0254708,0.00849025,0.0254708,0.00849025,0.0254708,0.00849025,0.0254708,0.00849025
63,28466,0.95376,1.31031,0.00711,0.85836,0.82736,0.87998,0.66214,0.90056,0.60673,0.01073,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
64,28913.3,0.95177,1.30881,0.00711,0.86295,0.8168,0.87855,0.66412,0.9073,0.61938,0.01087,0.0253223,0.00844075,0.0253223,0.00844075,0.0253223,0.00844075,0.0253223,0.00844075
65,29361.5,0.95206,1.31281,0.00706,0.85897,0.81034,0.87481,0.66221,0.88114,0.62389,0.01054,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
66,29812.8,0.94598,1.30581,0.00709,0.87515,0.79985,0.86673,0.65374,0.90973,0.63268,0.01145,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
67,30263.8,0.94905,1.30945,0.00699,0.85473,0.82224,0.87181,0.65806,0.90035,0.61542,0.01088,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
68,30712.7,0.94559,1.31127,0.00704,0.87881,0.78266,0.86838,0.65545,0.89426,0.61479,0.01041,0.0250252,0.00834175,0.0250252,0.00834175,0.0250252,0.00834175,0.0250252,0.00834175
69,31160.3,0.94759,1.28733,0.00701,0.85739,0.80324,0.86634,0.66143,0.88916,0.61294,0.01039,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
70,31610.6,0.9643,1.30721,0.00715,0.82704,0.83447,0.87167,0.66277,0.89708,0.60363,0.01041,0.0248767,0.00829225,0.0248767,0.00829225,0.0248767,0.00829225,0.0248767,0.00829225
