epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,7902.15,1.04376,1.45872,0.00785,0.81114,0.71632,0.79725,0.56674,1.02985,0.80871,0.01187,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
44,8082.31,1.05505,1.43424,0.00804,0.74287,0.74019,0.77919,0.55343,1.02527,0.75548,0.01129,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575
45,8262.16,1.04096,1.42948,0.00783,0.80851,0.70502,0.79619,0.57554,1.02451,0.75396,0.01144,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
46,8447.3,1.03849,1.43615,0.00778,0.80874,0.72511,0.80046,0.57197,1.0322,0.74434,0.01109,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
47,8628.37,1.03753,1.42273,0.00776,0.7866,0.70383,0.78405,0.56083,1.0362,0.78871,0.0127,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
48,8808.93,1.03882,1.44557,0.00786,0.77775,0.70635,0.78921,0.55753,1.06891,0.75061,0.01448,0.0265103,0.00883675,0.0265103,0.00883675,0.0265103,0.00883675,0.0265103,0.00883675
49,8990.11,1.04315,1.43672,0.00791,0.82082,0.69519,0.7942,0.57142,1.0168,0.76003,0.01169,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
50,9169.71,1.02644,1.42941,0.00771,0.76508,0.74087,0.78319,0.569,1.0373,0.75234,0.01235,0.0263617,0.00878725,0.0263617,0.00878725,0.0263617,0.00878725,0.0263617,0.00878725
51,9349.52,1.03088,1.44024,0.00777,0.83112,0.69404,0.78954,0.56212,1.06278,0.75694,0.0133,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
52,9530.09,1.03858,1.42847,0.0078,0.88093,0.65838,0.78208,0.57139,1.01478,0.78174,0.01208,0.0262133,0.00873775,0.0262133,0.00873775,0.0262133,0.00873775,0.0262133,0.00873775
53,9710.1,1.03558,1.43348,0.00796,0.76322,0.71037,0.76722,0.54278,1.04594,0.74924,0.01252,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
54,9889.61,1.02789,1.426,0.00768,0.75293,0.73985,0.777,0.55695,1.05787,0.76025,0.01389,0.0260647,0.00868825,0.0260647,0.00868825,0.0260647,0.00868825,0.0260647,0.00868825
55,10069.7,1.04196,1.40289,0.00782,0.79433,0.74735,0.80659,0.57257,1.05068,0.73342,0.01305,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
56,10251.2,1.02846,1.43205,0.00783,0.7911,0.74588,0.8004,0.57715,1.01473,0.74301,0.01177,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
57,10432.5,1.03105,1.43075,0.00776,0.78065,0.73005,0.79462,0.57016,1.03882,0.72839,0.01272,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
58,10612.3,1.02416,1.41025,0.00759,0.84225,0.71707,0.79752,0.57759,1.02865,0.73311,0.0124,0.0257677,0.00858925,0.0257677,0.00858925,0.0257677,0.00858925,0.0257677,0.00858925
59,10793.1,1.02494,1.40664,0.00769,0.78561,0.75857,0.80831,0.58006,1.03656,0.72484,0.01252,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
60,10973.9,1.02855,1.38295,0.00773,0.74245,0.7643,0.79391,0.57585,1.02749,0.72595,0.01278,0.0256192,0.00853975,0.0256192,0.00853975,0.0256192,0.00853975,0.0256192,0.00853975
61,11154.8,1.01593,1.39546,0.00756,0.81119,0.76792,0.81296,0.58443,1.02943,0.6979,0.01204,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
62,11335.8,1.02326,1.38116,0.00775,0.79317,0.77362,0.80729,0.58358,1.00332,0.73655,0.01192,0.0254708,0.00849025,0.0254708,0.00849025,0.0254708,0.00849025,0.0254708,0.00849025
63,11515.9,1.01993,1.38689,0.00762,0.7763,0.75649,0.81064,0.5975,1.01087,0.70847,0.01183,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
64,11696.7,1.02536,1.38574,0.00759,0.83126,0.72362,0.81887,0.58895,0.99408,0.7309,0.01076,0.0253223,0.00844075,0.0253223,0.00844075,0.0253223,0.00844075,0.0253223,0.00844075
65,11876.8,1.02798,1.39263,0.00765,0.79351,0.71896,0.79628,0.59674,0.94153,0.72581,0.00827,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
66,12057.6,1.03111,1.38467,0.00745,0.81121,0.74334,0.80753,0.59268,0.98957,0.69247,0.00973,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
67,12238.5,1.00622,1.37782,0.00761,0.81429,0.74634,0.80712,0.58023,1.02107,0.72235,0.01182,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
68,12419.1,1.0141,1.38914,0.00751,0.76335,0.76045,0.79921,0.57594,1.00206,0.73547,0.01143,0.0250252,0.00834175,0.0250252,0.00834175,0.0250252,0.00834175,0.0250252,0.00834175
69,12600.4,1.00838,1.37186,0.00746,0.81933,0.71871,0.80434,0.58722,1.00321,0.72188,0.01158,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
70,12781.8,1.01257,1.36752,0.00749,0.80738,0.74768,0.813,0.59172,0.9891,0.70088,0.01104,0.0248767,0.00829225,0.0248767,0.00829225,0.0248767,0.00829225,0.0248767,0.00829225
71,12962.4,1.00639,1.37433,0.00744,0.77721,0.77451,0.81352,0.59316,0.98842,0.69833,0.00988,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
72,13143.3,1.00233,1.37826,0.00734,0.76683,0.74922,0.79289,0.58138,0.98954,0.72049,0.0099,0.0247282,0.00824275,0.0247282,0.00824275,0.0247282,0.00824275,0.0247282,0.00824275
73,13323.9,1.00549,1.36125,0.00744,0.7904,0.76004,0.81366,0.59598,0.99753,0.68897,0.01041,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
74,13504.3,0.99583,1.37273,0.00738,0.76281,0.76987,0.80302,0.59584,0.95955,0.69259,0.00942,0.0245797,0.00819325,0.0245797,0.00819325,0.0245797,0.00819325,0.0245797,0.00819325
75,13685.4,1.00339,1.34769,0.0073,0.81337,0.75531,0.80951,0.59872,0.97206,0.70224,0.00904,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
76,13866.5,1.0075,1.36351,0.00738,0.77621,0.79249,0.82884,0.60297,0.96168,0.69099,0.00951,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
77,14048.4,0.9923,1.35061,0.00732,0.8077,0.73452,0.82535,0.59787,0.97025,0.72457,0.01085,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
78,14228.7,0.99357,1.36492,0.00726,0.82156,0.74786,0.81894,0.59583,0.97616,0.69489,0.01022,0.0242827,0.00809425,0.0242827,0.00809425,0.0242827,0.00809425,0.0242827,0.00809425
79,14410.4,0.99855,1.35488,0.00728,0.73585,0.77076,0.80395,0.59081,0.96659,0.71556,0.0101,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
80,14591.8,0.99642,1.33043,0.00713,0.80796,0.75142,0.81399,0.60458,0.97619,0.67891,0.01011,0.0241342,0.00804475,0.0241342,0.00804475,0.0241342,0.00804475,0.0241342,0.00804475
81,14783.3,0.9969,1.34883,0.0073,0.78067,0.78873,0.81652,0.60037,0.9605,0.68605,0.0093,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
82,14977,0.9971,1.35952,0.00727,0.80995,0.75002,0.8213,0.61107,0.95864,0.68713,0.0095,0.0239858,0.00799525,0.0239858,0.00799525,0.0239858,0.00799525,0.0239858,0.00799525
83,15158.4,0.99346,1.34684,0.00715,0.82285,0.7443,0.81029,0.59785,0.98151,0.68685,0.01048,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
84,15340.1,0.98979,1.32759,0.00721,0.83586,0.72052,0.82694,0.61184,0.98979,0.6744,0.01065,0.0238373,0.00794575,0.0238373,0.00794575,0.0238373,0.00794575,0.0238373,0.00794575
85,15521.6,0.9855,1.34667,0.00717,0.80592,0.75047,0.82371,0.61025,0.96724,0.67449,0.01023,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
86,15702.4,0.99935,1.36607,0.00737,0.82405,0.76889,0.83123,0.60704,0.98879,0.64018,0.01019,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
87,15883.7,0.9884,1.33658,0.00702,0.81243,0.76768,0.83099,0.61373,0.95617,0.66967,0.00934,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
88,16064.4,0.98861,1.33721,0.00724,0.83954,0.76566,0.83116,0.61736,0.96527,0.6613,0.00953,0.0235402,0.00784675,0.0235402,0.00784675,0.0235402,0.00784675,0.0235402,0.00784675
89,16245.6,0.99587,1.33268,0.00722,0.81893,0.76727,0.84183,0.6194,0.97636,0.65118,0.00962,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
90,16426.4,0.9911,1.33571,0.0073,0.82663,0.76982,0.8384,0.6235,0.94905,0.67684,0.009,0.0233917,0.00779725,0.0233917,0.00779725,0.0233917,0.00779725,0.0233917,0.00779725
91,16607.5,0.99169,1.33566,0.00719,0.82057,0.74283,0.84284,0.62382,0.96115,0.67988,0.00917,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
92,16788.7,0.99417,1.31555,0.00716,0.79272,0.76402,0.83591,0.61195,0.98737,0.66284,0.0107,0.0232433,0.00774775,0.0232433,0.00774775,0.0232433,0.00774775,0.0232433,0.00774775
93,16970,0.98579,1.32975,0.00707,0.78859,0.78148,0.82855,0.61642,0.9531,0.67425,0.00943,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
94,17151.3,0.98016,1.30787,0.00715,0.77433,0.78106,0.82558,0.60692,0.97105,0.67539,0.01051,0.0230947,0.00769825,0.0230947,0.00769825,0.0230947,0.00769825,0.0230947,0.00769825
95,17332.7,0.99243,1.32213,0.00716,0.79826,0.79682,0.83545,0.61697,0.94418,0.66957,0.00957,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
96,17513.3,0.9872,1.30801,0.00717,0.77735,0.79684,0.83076,0.61816,0.95175,0.65249,0.00909,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
97,17694.1,0.98691,1.3223,0.00722,0.83201,0.76334,0.83625,0.62544,0.96465,0.65465,0.00997,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
98,17876.2,0.98502,1.29119,0.00706,0.82341,0.78792,0.84191,0.62382,0.97091,0.6472,0.01047,0.0227978,0.00759925,0.0227978,0.00759925,0.0227978,0.00759925,0.0227978,0.00759925
99,18059,0.97557,1.30956,0.00706,0.82064,0.75882,0.82947,0.62247,0.94389,0.66036,0.00941,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
100,18240.7,0.98027,1.31098,0.00705,0.80935,0.7773,0.82742,0.61904,0.93634,0.65674,0.00916,0.0226492,0.00754975,0.0226492,0.00754975,0.0226492,0.00754975,0.0226492,0.00754975
101,18422.1,0.98076,1.31204,0.0071,0.83192,0.75784,0.82901,0.62219,0.93957,0.65588,0.00923,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
102,18604.2,0.98151,1.32384,0.00709,0.86481,0.73817,0.82838,0.62,0.95256,0.6529,0.00984,0.0225007,0.00750025,0.0225007,0.00750025,0.0225007,0.00750025,0.0225007,0.00750025
103,18785.7,0.98125,1.32712,0.00706,0.81137,0.76929,0.82388,0.6107,0.95365,0.65132,0.00976,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
104,18967.2,0.98313,1.30336,0.00713,0.81567,0.77182,0.82642,0.61549,0.95797,0.66173,0.01023,0.0223522,0.00745075,0.0223522,0.00745075,0.0223522,0.00745075,0.0223522,0.00745075
105,19148.1,0.99187,1.30287,0.00714,0.80949,0.79078,0.8189,0.60373,0.95191,0.67692,0.01001,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
106,19328.7,0.98313,1.30758,0.00697,0.84135,0.77127,0.82754,0.61558,0.95456,0.6586,0.00991,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
107,19510.5,0.97188,1.29371,0.00703,0.85588,0.75399,0.83451,0.62024,0.95884,0.65608,0.01021,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
108,19691.5,0.9664,1.31568,0.00699,0.81831,0.78165,0.82948,0.61706,0.94094,0.66653,0.00971,0.0220552,0.00735175,0.0220552,0.00735175,0.0220552,0.00735175,0.0220552,0.00735175
109,19873.2,0.96671,1.30101,0.00688,0.82573,0.78214,0.8324,0.62092,0.94441,0.65104,0.0095,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
110,20054,0.97187,1.29491,0.0069,0.82156,0.79835,0.83621,0.62385,0.94585,0.63685,0.00922,0.0219067,0.00730225,0.0219067,0.00730225,0.0219067,0.00730225,0.0219067,0.00730225
111,20235.9,0.97535,1.27518,0.00695,0.80256,0.7925,0.83591,0.62041,0.95272,0.63941,0.0094,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
112,20418.1,0.97428,1.26677,0.00697,0.83573,0.7579,0.83945,0.62088,0.9561,0.64319,0.0093,0.0217582,0.00725275,0.0217582,0.00725275,0.0217582,0.00725275,0.0217582,0.00725275
113,20599.7,0.97099,1.28796,0.00693,0.83057,0.76112,0.83651,0.62126,0.96041,0.63973,0.00956,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
114,20781.7,0.95517,1.30624,0.00676,0.8159,0.74831,0.82333,0.61828,0.95254,0.64276,0.00939,0.0216098,0.00720325,0.0216098,0.00720325,0.0216098,0.00720325,0.0216098,0.00720325
115,20963.3,0.9595,1.29318,0.00698,0.81338,0.76966,0.82263,0.613,0.95924,0.63195,0.00932,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
116,21145.8,0.96092,1.29116,0.00689,0.81352,0.76352,0.82944,0.61515,0.96711,0.63232,0.00935,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
117,21327.3,0.96255,1.28435,0.00674,0.85795,0.75019,0.83459,0.62153,0.95157,0.64849,0.0091,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
